file,line,name,parent,context,author,displayName,effective_author,credit_status
TAEGear\Helmets\Customs\config.cpp,2,TAEGear_Helmets_Customs,,CfgPatches,,,,External inheritance / no local author
TAEGear\Helmets\Customs\config.cpp,562,tae_karr_helmet_fd,tae_helmet_traditional,CfgWeapons,Nova,House Karr Traditional Helmet (Foundling),Nova,Explicit
TAEGear\Helmets\Customs\config.cpp,582,tae_karr_helmet_mr,tae_helmet_traditional,CfgWeapons,Nova,House Karr Traditional Helmet (Mandalorian Recruit),Nova,Explicit
TAEGear\Helmets\Customs\config.cpp,602,tae_karr_helmet_ma,tae_helmet_traditional,CfgWeapons,Nova,House Karr Traditional Helmet (Mandalorian Apprentice),Nova,Explicit
TAEGear\Helmets\Customs\config.cpp,622,tae_karr_helmet_mm,tae_helmet_traditional,CfgWeapons,Nova,House Karr Traditional Helmet (Mandalorian),Nova,Explicit
TAEGear\Helmets\Customs\config.cpp,642,tae_karr_helmet_mv,tae_helmet_traditional,CfgWeapons,Nova,House Karr Traditional Helmet (Mandalorian Veteran),Nova,Explicit
TAEGear\Helmets\Customs\config.cpp,664,tae_karr_helmet_niteowl_fd,tae_helmet_nite_owl,CfgWeapons,Edonn,House Karr Nite Owl Helmet,Edonn,Explicit
TAEGear\Helmets\Customs\config.cpp,684,tae_karr_helmet_niteowl_mr,tae_helmet_nite_owl,CfgWeapons,Edonn,House Karr Nite Owl Helmet,Edonn,Explicit
TAEGear\Helmets\Customs\config.cpp,704,tae_karr_helmet_niteowl_ma,tae_helmet_nite_owl,CfgWeapons,Edonn,House Karr Nite Owl Helmet,Edonn,Explicit
TAEGear\Helmets\Customs\config.cpp,724,tae_karr_helmet_niteowl_mm,tae_helmet_nite_owl,CfgWeapons,Edonn,House Karr Nite Owl Helmet,Edonn,Explicit
TAEGear\Helmets\Customs\config.cpp,744,tae_karr_helmet_niteowl_mv,tae_helmet_nite_owl,CfgWeapons,Edonn,House Karr Nite Owl Helmet,Edonn,Explicit
TAEGear\Helmets\Customs\config.cpp,766,tae_hondo_helmet,tae_helmet_battle_master,CfgWeapons,Hondo,Hondo's Helmet,Hondo,Explicit
